Tên thủ tục,Link
"Cấp Giấy phép lưu thông phương tiện phòng cháy, chữa cháy, cứu nạn, cứu hộ.",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=120752
"Cấp Giấy phép nhập khẩu pháo hoa nổ, thuốc pháo nổ và thiết bị, phụ kiện bắn pháo hoa nổ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26672
Cấp Giấy phép nhập khẩu sản phẩm an toàn thông tin,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61472
Cấp Giấy phép sử dụng vũ khí thể thao thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26796
Cấp Giấy phép trang bị vũ khí thể thao thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=36432
Cấp Giấy phép vận chuyển công cụ hỗ trợ thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26793
Cấp Giấy phép vận chuyển pháo hoa để kinh doanh (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=54712
"Cấp Giấy phép xuất khẩu pháo hoa nổ, thuốc pháo nổ và thiết bị, phụ kiện bắn pháo hoa nổ tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26673
Cấp giấy chứng nhận kiểm định phương tiện phòng cháy và chữa cháy,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64167
"Cấp giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng (trường hợp cấp phép, kinh doanh dịch vụ kiểm tra, đánh giá an toàn thông tin hoặc dịch vụ bảo mật thông tin không sử dụng mật mã dân sự)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61532
"Cấp giấy phép kinh doanh sản phẩm, dịch vụ an toàn thông tin mạng (trừ trường hợp cấp phép, kinh doanh dịch vụ kiểm tra, đánh giá an toàn thông tin hoặc dịch vụ bảo mật thông tin không sử dụng mật mã dân sự)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61512
"Cấp giấy phép kiểm soát an ninh cảng hàng không, sân bay có giá trị sử dụng ngắn hạn",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61613
"Cấp giấy phép kiểm soát an ninh cảng hàng không, sân bay có giá trị sử dụng ngắn hạn (thực hiện tại cấp tỉnh)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=61583
